student_id,course_id,week_number,resource_id,resource_type,activity_type,timestamp,duration_seconds,quiz_score,forum_posts,prior_gpa,final_grade
STU-0001,CS-201,1,CS-201-REA-004,READING,VIEW,2026-01-12T16:06:51+00:00,214,,0,2.97,54.19
STU-0001,CS-201,1,CS-201-FOR-008,FORUM,COMMENT,2026-01-14T10:25:34+00:00,146,,0,2.97,54.19
STU-0001,CS-201,1,CS-201-REA-006,READING,VIEW,2026-01-15T05:24:37+00:00,1497,,0,2.97,54.19
STU-0001,CS-201,1,CS-201-LAB-004,LAB,DOWNLOAD,2026-01-17T00:50:30+00:00,2624,,0,2.97,54.19
STU-0001,CS-201,1,CS-201-REA-008,READING,VIEW,2026-01-17T21:38:58+00:00,968,,0,2.97,54.19
STU-0001,CS-201,2,CS-201-LAB-002,LAB,SUBMIT,2026-01-20T23:50:16+00:00,2503,,0,2.97,54.19
STU-0001,CS-201,2,CS-201-REA-001,READING,VIEW,2026-01-24T12:49:58+00:00,568,,0,2.97,54.19
STU-0001,CS-201,2,CS-201-LAB-008,LAB,VIEW,2026-01-25T03:15:32+00:00,2443,,0,2.97,54.19
STU-0001,CS-201,2,CS-201-FOR-006,FORUM,POST,2026-01-25T12:01:38+00:00,496,,1,2.97,54.19
STU-0001,CS-201,2,CS-201-REA-004,READING,DOWNLOAD,2026-01-25T16:50:22+00:00,1112,,0,2.97,54.19
STU-0001,CS-201,2,CS-201-VID-008,VIDEO,VIEW,2026-01-26T03:21:22+00:00,690,,0,2.97,54.19
STU-0001,CS-201,3,CS-201-QUI-008,QUIZ,SUBMIT,2026-01-27T03:08:10+00:00,451,75.59,0,2.97,54.19
STU-0001,CS-201,3,CS-201-REA-003,READING,VIEW,2026-01-27T03:42:28+00:00,969,,0,2.97,54.19
STU-0001,CS-201,3,CS-201-REA-006,READING,VIEW,2026-01-28T01:18:15+00:00,428,,0,2.97,54.19
STU-0001,CS-201,3,CS-201-QUI-004,QUIZ,SUBMIT,2026-01-29T00:54:40+00:00,519,64.74,0,2.97,54.19
STU-0001,CS-201,3,CS-201-LAB-003,LAB,VIEW,2026-01-29T12:46:33+00:00,2152,,0,2.97,54.19
STU-0001,CS-201,3,CS-201-REA-008,READING,VIEW,2026-01-29T20:13:27+00:00,600,,0,2.97,54.19
STU-0001,CS-201,3,CS-201-QUI-001,QUIZ,SUBMIT,2026-01-30T10:54:17+00:00,924,68.13,0,2.97,54.19
STU-0001,CS-201,3,CS-201-FOR-001,FORUM,COMMENT,2026-01-30T23:47:38+00:00,548,,0,2.97,54.19
STU-0001,CS-201,3,CS-201-VID-006,VIDEO,DOWNLOAD,2026-01-31T02:35:30+00:00,1038,,0,2.97,54.19
